,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD
"('3_backdoor', 0.05, 3)",0.003995180130004883,0.050766706466674805,,,,,
"('3_backdoor', 0.1, 1)",0.005877017974853516,0.07877182960510254,,,,,
"('3_backdoor', 0.1, 2)",0.003609180450439453,0.057720184326171875,,,,,
"('3_backdoor', 0.1, 3)",0.003154277801513672,0.052394866943359375,,,,,
"('3_backdoor', 0.25, 1)",0.005141735076904297,0.051088571548461914,,,,,
"('3_backdoor', 0.25, 2)",0.0053157806396484375,0.05122494697570801,,,,,
"('3_backdoor', 0.25, 3)",0.0015947818756103516,0.05225515365600586,,,,,
"('3_backdoor', 0.5, 1)",0.005995035171508789,0.056149959564208984,,,,,
"('3_backdoor', 0.5, 2)",0.006761789321899414,0.055233001708984375,,,,,
"('3_backdoor', 0.5, 3)",0.007413625717163086,0.04384160041809082,,,,,
"('3_backdoor', 0.75, 1)",0.004197597503662109,0.04912900924682617,,,,,
"('3_backdoor', 0.75, 2)",0.006014347076416016,0.05266904830932617,,,,,
"('3_backdoor', 0.75, 3)",0.002416849136352539,0.048210859298706055,,,,,
"('3_backdoor', 1.0, 1)",0.0026586055755615234,0.04628753662109375,,,,,
"('3_backdoor', 1.0, 2)",0.00587010383605957,0.05342578887939453,,,,,
"('3_backdoor', 1.0, 3)",0.010035037994384766,0.05089235305786133,,,,,
