,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,PCA,SOD,DeepSVDD,DAGMM
0.0,0.009088754653930664,0.1554887294769287,0.0015377998352050781,1.0247154235839844,0.007973432540893555,0.0067806243896484375,0.0004820823669433594,0.13822174072265625,0.006309032440185547,0.03744077682495117,0.0005848407745361328,0.49234437942504883,,0.046248674392700195
0.01,0.009572982788085938,0.1969306468963623,0.0009176731109619141,0.7017233371734619,0.007504463195800781,0.007499217987060547,0.00043892860412597656,0.14532113075256348,0.005811214447021484,0.03629279136657715,0.00044727325439453125,0.43158531188964844,,0.05012965202331543
0.05,0.008831262588500977,0.16448497772216797,0.0009200572967529297,0.8504033088684082,0.010510921478271484,0.009880542755126953,0.0006685256958007812,0.1805272102355957,0.006350517272949219,0.03546547889709473,0.0006670951843261719,0.49910736083984375,,0.04787898063659668
0.1,0.0101776123046875,0.19826674461364746,0.0008311271667480469,0.7171897888183594,0.007515430450439453,0.006989002227783203,0.00044035911560058594,0.14834260940551758,0.005962848663330078,0.04015350341796875,0.00045871734619140625,0.48581361770629883,,0.07070755958557129
0.25,0.01543116569519043,0.1615581512451172,0.0009055137634277344,0.7442235946655273,0.007369041442871094,0.008148908615112305,0.0004456043243408203,0.1659986972808838,0.006104707717895508,0.03552842140197754,0.0004894733428955078,0.4978363513946533,,0.053014278411865234
0.5,0.009227752685546875,0.16655516624450684,0.0010008811950683594,0.7483997344970703,0.007862329483032227,0.006894826889038086,0.0004124641418457031,0.14432835578918457,0.00631260871887207,0.03945612907409668,0.00046753883361816406,0.4991576671600342,,0.06588459014892578
0.75,0.009006977081298828,0.15848302841186523,0.0009617805480957031,0.733281135559082,0.007706165313720703,0.00786590576171875,0.00045943260192871094,0.1569814682006836,0.00615239143371582,0.03583359718322754,0.0004341602325439453,0.4902675151824951,,0.05747246742248535
1.0,0.009035110473632812,0.16247177124023438,0.0011987686157226562,0.7514605522155762,0.009111881256103516,0.006732463836669922,0.00044155120849609375,0.15976762771606445,0.006356954574584961,0.0364840030670166,0.0004534721374511719,0.5112087726593018,,0.05493640899658203
