,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
0.0,,,0.40139126777648926,,0.014372825622558594,,,,
0.01,0.001837015151977539,0.030310630798339844,0.34243154525756836,0.1919090747833252,0.0666646957397461,0.025906801223754883,2.254791021347046,29.99355912208557,88.8139979839325
0.05,0.0019719600677490234,0.15903186798095703,0.32861924171447754,0.2601766586303711,0.11464834213256836,0.035552024841308594,1.514451503753662,28.813369274139404,89.50652718544006
0.1,0.001947641372680664,0.2796206474304199,0.3904280662536621,0.2547931671142578,0.06927299499511719,0.05086827278137207,1.7634046077728271,29.08966588973999,90.11757802963257
0.25,0.001560211181640625,0.520918607711792,0.5542535781860352,0.2799551486968994,0.07953786849975586,0.04945659637451172,1.4847609996795654,30.287736892700195,90.76773810386658
0.5,0.0017745494842529297,0.8213567733764648,2.400142192840576,0.27692294120788574,0.0664987564086914,0.04883146286010742,1.912914752960205,29.34432816505432,91.71172523498535
0.75,0.0018122196197509766,0.47734999656677246,2.0122554302215576,0.2884693145751953,0.08624267578125,0.041867971420288086,1.5185720920562744,29.38701820373535,92.15739107131958
1.0,0.0016446113586425781,0.752685546875,2.1513352394104004,0.2562849521636963,0.06984949111938477,0.056102752685546875,1.7026090621948242,30.91054654121399,92.04129004478455
