,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
0.0,,,0.11398600812825085,,0.07407407407407407,,,,
0.01,0.08386395679847845,0.057111903492912126,0.11619704110972123,0.11102083333333333,0.18091352233270003,0.4231257993469369,0.6413481972183613,0.11620408705854618,0.08797826759847997
0.05,0.4718970662057729,0.0843262458159231,0.1538192292383465,0.5277143396788242,0.6679248632509999,0.62561219411775,0.7951749479410523,0.3212854122443993,0.3634272976385707
0.1,0.522941500778401,0.1437346034955132,0.19713971213672926,0.6385089899727017,0.754344233649113,0.7139363329160615,0.7823231717660304,0.5580999545393349,0.6917461730006016
0.25,0.5193702780574668,0.16709109918054935,0.46610005061511006,0.7504037451101914,0.7885512911752461,0.790887003403661,0.8014459483239382,0.6390730521715486,0.7011779526864554
0.5,0.5379372169689352,0.4895269822072794,0.7288209466739345,0.8341408550607986,0.8279677573998916,0.8154634580750532,0.8286877501635541,0.7961792205250207,0.830446687898788
0.75,0.5587164404558549,0.8235422577355453,0.8032570333499535,0.8905353627558024,0.8839049914545607,0.8558564735419415,0.8841597131821691,0.8258324335799023,0.8443291152469132
1.0,0.6383160947506633,0.8299140681551341,0.833346973088077,0.9069141201730145,0.8945251481075222,0.8977680765201952,0.9033771333694498,0.8244818286079209,0.8748779238419738
