,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
0.0,,,0.6138812499999999,,0.5,,,,
0.01,0.305028125,0.352296875,0.6199562500000001,0.541715625,0.6542015625000001,0.91164375,0.96145625,0.47482500000000005,0.4824484375
0.05,0.81659375,0.451384375,0.673165625,0.8266140624999999,0.9197734375000001,0.8951546874999999,0.9863500000000001,0.6627609375,0.7697515625
0.1,0.848875,0.426075,0.7089875,0.9280656249999999,0.983915625,0.96918125,0.98919375,0.8434453125,0.9620750000000001
0.25,0.8469625,0.5203968749999999,0.826534375,0.983415625,0.9893437500000001,0.98653125,0.98914375,0.9453593750000001,0.97871875
0.5,0.8569375,0.758934375,0.952715625,0.9910578125,0.9915375000000001,0.989934375,0.9908531249999999,0.9822937500000001,0.989246875
0.75,0.8642265625,0.9833625,0.978609375,0.994084375,0.993984375,0.9928499999999999,0.99381875,0.983765625,0.99095
1.0,0.9076812499999999,0.9871781249999999,0.985628125,0.995246875,0.99475,0.9943625,0.9948187500000001,0.9873000000000001,0.9928375
