,NB,SVM,MLP,RF,LGB,XGB,CatB,ResNet,FTTransformer
0.0,,,0.0014123916625976562,,0.0011000633239746094,,,,
0.01,0.0007026195526123047,0.004643678665161133,0.0011627674102783203,0.010563850402832031,0.0014729499816894531,0.0016961097717285156,0.005335330963134766,0.012146472930908203,0.054399728775024414
0.05,0.0006206035614013672,0.010203123092651367,0.0010399818420410156,0.012506961822509766,0.0019207000732421875,0.0013132095336914062,0.004774332046508789,0.013632774353027344,0.05998992919921875
0.1,0.0006334781646728516,0.01751852035522461,0.0014634132385253906,0.012307167053222656,0.0019450187683105469,0.0011289119720458984,0.006178140640258789,0.013064861297607422,0.05716991424560547
0.25,0.0007231235504150391,0.02499985694885254,0.0012655258178710938,0.012463808059692383,0.0020644664764404297,0.0015256404876708984,0.005186319351196289,0.012565374374389648,0.058145999908447266
0.5,0.0006089210510253906,0.03890109062194824,0.0013577938079833984,0.012796878814697266,0.0017485618591308594,0.0012586116790771484,0.005893230438232422,0.012867927551269531,0.05815601348876953
0.75,0.0007612705230712891,0.03629708290100098,0.0012328624725341797,0.014945745468139648,0.0018362998962402344,0.0010509490966796875,0.004893779754638672,0.01365804672241211,0.05502891540527344
1.0,0.0006420612335205078,0.057062387466430664,0.0013768672943115234,0.012276172637939453,0.0020923614501953125,0.0014197826385498047,0.004998922348022461,0.017620563507080078,0.05918765068054199
